county,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,st_abb,year,state_fips,county_fips
Hunterdon,102249,4388,4596,803,0.65,3.7,NJ,2008,34,019
Mercer,72883,2922,30973,3953,1.15,9.0,NJ,2008,34,021
Middlesex,77015,1433,54644,6277,0.80,7.1,NJ,2008,34,023
Monmouth,82503,2153,37480,4208,0.70,5.9,NJ,2008,34,025
Morris,99268,2825,19263,3057,0.65,4.0,NJ,2008,34,027
Ocean,59199,2312,48172,5973,1.05,8.6,NJ,2008,34,029
Passaic,56552,2037,66753,7131,1.45,13.9,NJ,2008,34,031
Salem,57935,4176,6821,1207,1.85,10.5,NJ,2008,34,033
Somerset,99817,3311,11619,2005,0.60,3.6,NJ,2008,34,035
Sussex,79393,3369,6833,1193,0.80,4.6,NJ,2008,34,037
Union,67127,2173,45220,5146,1.00,8.8,NJ,2008,34,039
Warren,74721,3570,7303,1150,1.05,6.7,NJ,2008,34,041
Atlantic,51585,3038,28926,4342,1.60,10.9,NJ,2009,34,001
Bergen,80604,2174,58713,7507,0.85,6.6,NJ,2009,34,003
Burlington,74481,2230,26190,4392,1.05,6.1,NJ,2009,34,005
Camden,60445,1817,57405,6651,1.30,11.3,NJ,2009,34,007
Cape May,49797,2369,10003,2017,2.15,10.7,NJ,2009,34,009
Cumberland,47921,2252,23801,3637,2.50,16.4,NJ,2009,34,011
Essex,53712,1860,107767,9840,1.30,14.4,NJ,2009,34,013
Gloucester,69928,2922,21878,3155,1.10,7.7,NJ,2009,34,015
Hudson,55767,1913,86008,9003,1.50,14.6,NJ,2009,34,017
Hunterdon,100485,6043,5372,937,0.75,4.3,NJ,2009,34,019
Mercer,70570,3291,37360,4863,1.40,10.8,NJ,2009,34,021
Middlesex,74959,2638,61032,7024,0.90,7.9,NJ,2009,34,023
Monmouth,80231,2793,43974,5929,0.90,6.9,NJ,2009,34,025
Morris,96300,3723,18065,3565,0.75,3.8,NJ,2009,34,027
Ocean,59456,1695,46190,6276,1.10,8.2,NJ,2009,34,029
Passaic,51933,2080,79637,7368,1.50,16.5,NJ,2009,34,031
Salem,52958,4108,6687,1330,2.05,10.2,NJ,2009,34,033
Somerset,90125,2932,14198,2684,0.80,4.4,NJ,2009,34,035
Sussex,80155,3332,8146,1385,0.95,5.4,NJ,2009,34,037
Union,64588,2768,49365,6198,1.20,9.5,NJ,2009,34,039
Warren,70092,3966,7542,1389,1.30,7.0,NJ,2009,34,041
Atlantic,51457,2470,36693,4635,1.70,13.6,NJ,2010,34,001
Bergen,77059,2637,61715,7314,0.80,6.9,NJ,2010,34,003
Burlington,73788,2196,25008,4543,1.00,5.7,NJ,2010,34,005
Camden,56939,2083,62052,5997,1.20,12.3,NJ,2010,34,007
Cape May,51585,2839,10828,2164,2.30,11.4,NJ,2010,34,009
Cumberland,49964,2134,24653,3795,2.60,17.0,NJ,2010,34,011
Essex,52288,1186,125503,8851,1.20,16.4,NJ,2010,34,013
Gloucester,70012,2343,19449,3469,1.20,6.8,NJ,2010,34,015
Hudson,53547,2221,103576,9290,1.50,16.5,NJ,2010,34,017
Hunterdon,97532,6423,5016,1033,0.80,4.0,NJ,2010,34,019
Mercer,70228,2272,40635,4251,1.20,11.7,NJ,2010,34,021
Middlesex,75890,1944,60788,6888,0.90,7.7,NJ,2010,34,023
Monmouth,80462,2146,42394,5621,0.90,6.8,NJ,2010,34,025
Morris,91403,2182,27564,4035,0.80,5.7,NJ,2010,34,027
Ocean,56924,1892,62634,6426,1.10,11.0,NJ,2010,34,029
Passaic,53363,2274,76910,7707,1.60,15.6,NJ,2010,34,031
Salem,55274,3478,7264,1317,2.00,11.2,NJ,2010,34,033
Somerset,93777,3337,16678,3062,1.00,5.2,NJ,2010,34,035
Sussex,81330,5245,8404,1552,1.10,5.7,NJ,2010,34,037
Union,65937,2040,58007,6677,1.30,10.9,NJ,2010,34,039
Warren,69658,4190,7873,1578,1.50,7.4,NJ,2010,34,041
Atlantic,49983,3056,35108,4168,1.60,13.1,NJ,2011,34,001
Bergen,79037,2372,59235,7702,0.90,6.6,NJ,2011,34,003
Burlington,72594,2413,25040,4254,1.00,5.7,NJ,2011,34,005
Camden,57261,2440,66839,6289,1.20,13.2,NJ,2011,34,007
Cape May,52312,2543,11138,2199,2.30,11.8,NJ,2011,34,009
Cumberland,49465,2572,24300,3861,2.70,16.7,NJ,2011,34,011
Essex,51021,1371,132017,9008,1.20,17.2,NJ,2011,34,013
Gloucester,70618,3925,21035,2929,1.00,7.4,NJ,2011,34,015
Hudson,55133,2475,102173,9384,1.50,16.2,NJ,2011,34,017
Hunterdon,99216,5288,5370,1162,0.90,4.3,NJ,2011,34,019
Mercer,71926,3439,38790,4776,1.40,11.1,NJ,2011,34,021
Middlesex,73914,2717,67199,7822,1.00,8.5,NJ,2011,34,023
Monmouth,79062,3152,42983,6207,1.00,6.9,NJ,2011,34,025
Morris,91420,1977,24438,4200,0.90,5.0,NJ,2011,34,027
Ocean,56851,1832,64467,6549,1.10,11.3,NJ,2011,34,029
Passaic,52243,2461,79789,7591,1.50,16.2,NJ,2011,34,031
