State,county,year,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,frm_30,points_30,frm_15,points_15,median_hh_income,median_hh_inc_moe,poverty_count,poverty_count_moe,poverty_rate,poverty_rate_moe,county_fips,price,Price_Difference
New Jersey,Monmouth,2019,7,0,0,0,7,1,0,1,0,0,3.935769231,0.521153846,3.391730769,0.475,102579,2715,37725,5291,0.9,6.2,25,441151.33,9633.66
New Jersey,Morris,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,95236,3488,23017,3680,0.8,4.7,27,394941,
New Jersey,Morris,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,99950,2240,23871,4213,0.9,4.9,27,404922.58,9981.58
New Jersey,Morris,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,100511,2080,24782,3817,0.8,5,27,419256.92,14334.34
New Jersey,Morris,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,101754,2732,25917,4814,1,5.3,27,427850.08,8593.16
New Jersey,Morris,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,107019,3433,26615,4134,0.8,5.4,27,426382.17,-1467.91
New Jersey,Morris,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,114269,4580,24225,3780,0.8,4.9,27,436397.25,10015.08
New Jersey,Morris,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,112396,3607,22980,4092,0.8,4.7,27,448941.75,12544.5
New Jersey,Morris,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,116328,4641,25678,3949,0.8,5.3,27,448991.33,49.58
New Jersey,Ocean,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,59022,2038,62772,6293,1.1,11,29,249704.83,
New Jersey,Ocean,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,59888,2084,60439,7755,1.3,10.5,29,252781.42,3076.59
New Jersey,Ocean,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,62937,2376,68832,6331,1.1,11.9,29,268527.92,15746.5
New Jersey,Ocean,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,63478,1933,63101,7783,1.3,10.9,29,267801.42,-726.5
New Jersey,Ocean,2016,0,0,0,0,0,5,3,2,0,0,3.654038462,0.530769231,2.930769231,0.492307692,62276,1627,64493,7669,1.3,11,29,271486.08,3684.66
New Jersey,Ocean,2017,0,0,0,0,0,4,0,4,0,0,3.989807692,0.498076923,3.2725,0.490384615,70493,2315,60406,6516,1.1,10.2,29,280263.17,8777.09
New Jersey,Ocean,2018,1,0,0,0,1,7,0,7,0,0,4.544615385,0.484615385,4.000192308,0.45,68483,1849,57366,6994,1.2,9.7,29,291129.33,10866.16
New Jersey,Ocean,2019,0,0,0,0,0,8,0,8,0,0,3.935769231,0.521153846,3.391730769,0.475,75627,2657,53950,7903,1.3,9,29,293645.83,2516.5
New Jersey,Passaic,2012,0,0,0,0,0,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,58073,1947,76698,7109,1.4,15.6,31,289847.83,
New Jersey,Passaic,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,57426,2605,82368,7341,1.5,16.6,31,290298.17,450.34
New Jersey,Passaic,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,58030,2303,90553,7311,1.5,18.2,31,297582.25,7284.08
New Jersey,Passaic,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,55723,3010,86457,7202,1.4,17.3,31,301986.33,4404.08
New Jersey,Passaic,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,61517,2221,85671,7363,1.5,17.2,31,307548.67,5562.34
New Jersey,Passaic,2017,0,0,0,0,0,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,63127,2969,82865,7341,1.5,16.5,31,317023.83,9475.16
New Jersey,Passaic,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,71959,3074,67374,7805,1.6,13.6,31,343506.5,26482.67
New Jersey,Passaic,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,76039,2039,65342,6566,1.3,13.3,31,355420.92,11914.42
New Jersey,Salem,2012,3,0,0,0,3,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,57939,3450,7235,1231,1.9,11.2,33,,
New Jersey,Salem,2013,0,0,0,0,0,1,0,1,0,0,3.975576923,0.732692308,3.100769231,0.7,58483,4086,9591,1291,2,15,33,,0
New Jersey,Salem,2014,2,0,0,0,2,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,56645,4801,8307,1399,2.2,13.1,33,,0
New Jersey,Salem,2015,0,0,0,0,0,0,0,0,0,0,3.850576923,0.615384615,3.0875,0.576923077,63988,4007,7524,1427,2.3,11.9,33,,0
New Jersey,Salem,2016,0,0,0,0,0,0,0,0,0,0,3.654038462,0.530769231,2.930769231,0.492307692,56071,4189,7868,1224,2,12.6,33,140317.67,140317.67
New Jersey,Salem,2017,1,0,0,0,1,0,0,0,0,0,3.989807692,0.498076923,3.2725,0.490384615,61322,5874,8215,1231,2,13.3,33,143383.83,3066.16
New Jersey,Salem,2018,0,0,0,0,0,0,0,0,0,0,4.544615385,0.484615385,4.000192308,0.45,64524,4339,6891,1319,2.1,11.2,33,152697.83,9314
New Jersey,Salem,2019,0,0,0,0,0,0,0,0,0,0,3.935769231,0.521153846,3.391730769,0.475,68146,2768,7000,1346,2.2,11.4,33,136466.17,-16231.66
New Jersey,Somerset,2012,5,0,0,0,5,0,0,0,0,0,3.6575,0.717307692,2.934423077,0.684615385,95574,4170,19644,2842,0.9,6.1,35,372094.17,
New Jersey,Somerset,2013,0,0,0,0,0,0,0,0,0,0,3.975576923,0.732692308,3.100769231,0.7,96947,3958,18582,3347,1,5.7,35,379552.08,7457.91
New Jersey,Somerset,2014,0,0,0,0,0,0,0,0,0,0,4.168867925,0.59245283,3.286037736,0.571698113,100194,2998,16496,3368,1,5,35,397699.17,18147.09
