county_name,district_code,district_name,general_tax_rate,effective_tax_rate
HUNTERDON,1014,HIGH BRIDGE BORO,4.1000000000000005,3.831253704632581
HUNTERDON,1015,HOLLAND TWP,2.8649999999999998,2.593748892819754
HUNTERDON,1016,KINGWOOD TWP,2.355,2.3169620592764644
HUNTERDON,1017,LAMBERTVILLE CITY,2.072,2.024576254472376
HUNTERDON,1018,LEBANON BORO,2.5,2.4600579713271387
HUNTERDON,1019,LEBANON TWP,2.381,2.390961359529538
HUNTERDON,1020,MILFORD BORO,3.524,3.198709479914452
HUNTERDON,1021,RARITAN TWP,2.5709999999999997,2.464293213389058
HUNTERDON,1022,READINGTON TWP,3.041,2.4495334397821455
HUNTERDON,1023,STOCKTON BORO,2.076,2.0750768783260347
HUNTERDON,1024,TEWKSBURY TWP,2.218,2.147222378483451
HUNTERDON,1025,UNION TWP,2.932,2.388129662290743
HUNTERDON,1026,WEST AMWELL TWP,2.27,2.395155426548107
MERCER,1101,EAST WINDSOR TWP,3.286,3.041290598756166
MERCER,1102,EWING TWP,3.459,3.481794921632676
MERCER,1103,HAMILTON TWP,2.903,2.735721364028115
MERCER,1104,HIGHTSTOWN BORO,4.413,3.7563132105765775
MERCER,1105,HOPEWELL BORO,3.0269999999999997,2.8562283833437916
MERCER,1106,HOPEWELL TWP,2.883,2.7056504586755956
MERCER,1107,LAWRENCE TWP,2.9019999999999997,2.725409991140335
MERCER,1108,PENNINGTON BORO,2.749,2.698386415314488
MERCER,1111,TRENTON CITY,5.535,5.1228631623368495
MERCER,1112,ROBBINSVILLE TWP,2.956,2.74473507186838
MERCER,1113,WEST WINDSOR TWP,2.804,2.490332416006051
MERCER,1114,PRINCETON,2.42,2.004087318938653
MIDDLESEX,1201,CARTERET BORO,2.876,2.559093494791286
MIDDLESEX,1202,CRANBURY TWP,1.7799999999999998,1.7154101369426231
MIDDLESEX,1203,DUNELLEN BORO,3.2479999999999998,3.262147116176866
MIDDLESEX,1204,EAST BRUNSWICK TWP,11.129999999999999,2.7802140749136655
MIDDLESEX,1205,EDISON TWP,5.6290000000000004,2.1263348995963685
MIDDLESEX,1206,HELMETTA BORO,3.062,2.6156462828084117
MIDDLESEX,1207,HIGHLAND PARK BORO,8.408999999999999,3.4674062236884002
MIDDLESEX,1208,JAMESBURG BORO,6.189,3.3565862453356283
MIDDLESEX,1209,METUCHEN BORO,6.143000000000001,2.669737119898878
MIDDLESEX,1210,MIDDLESEX BORO,9.421999999999999,2.997292034408987
MIDDLESEX,1211,MILLTOWN BORO,6.308000000000001,2.8978110224986735
MIDDLESEX,1212,MONROE TWP,2.513,2.0522468149829014
MIDDLESEX,1213,NEW BRUNSWICK CITY,2.4699999999999998,2.372975274236586
MIDDLESEX,1214,NORTH BRUNSWICK TWP,5.7860000000000005,3.0483981068454353
MIDDLESEX,1215,OLD BRIDGE TWP,5.032,2.1018174724946164
MIDDLESEX,1216,PERTH AMBOY CITY,2.9779999999999998,2.823013170258369
MIDDLESEX,1217,PISCATAWAY TWP,2.2689999999999997,2.176743710640684
MIDDLESEX,1218,PLAINSBORO TWP,2.347,2.3168958395494963
MIDDLESEX,1219,SAYREVILLE BORO,5.345000000000001,2.432096995348676
MIDDLESEX,1220,SOUTH AMBOY CITY,2.8169999999999997,2.6507228964902376
MIDDLESEX,1221,SOUTH BRUNSWICK TWP,5.04,1.9842493962066414
MIDDLESEX,1222,SOUTH PLAINFIELD BORO,6.346,2.095560657522523
MIDDLESEX,1223,SOUTH RIVER BORO,2.287,2.382571449176995
MIDDLESEX,1224,SPOTSWOOD BORO,3.399,2.950137191189447
MIDDLESEX,1225,WOODBRIDGE TWP,10.667,2.8761736753544427
MONMOUTH,1301,ABERDEEN TWP,2.536,2.437264224976103
MONMOUTH,1302,ALLENHURST BORO,0.791,0.6775052094680503
MONMOUTH,1303,ALLENTOWN BORO,2.951,2.8845619112806298
MONMOUTH,1304,ASBURY PARK CITY,1.575,1.6585580623174845
MONMOUTH,1305,ATLANTIC HIGHLANDS BORO,1.988,1.9595622170326839
MONMOUTH,1306,AVON BY THE SEA BORO,1.2,1.0050863502034575
MONMOUTH,1307,BELMAR BORO,1.345,1.2465817701777304
MONMOUTH,1308,BRADLEY BEACH BORO,1.222,1.2436933369054033
MONMOUTH,1309,BRIELLE BORO,1.6369999999999998,1.6173321754307974
MONMOUTH,1310,COLTS NECK TOWNSHIP,1.7639999999999998,1.7283722206943801
MONMOUTH,1311,DEAL BORO,0.714,0.6188937738462319
MONMOUTH,1312,EATONTOWN BORO,2.28,2.2084349669000476
MONMOUTH,1313,ENGLISHTOWN BORO,2.226,2.223665381282643
MONMOUTH,1314,FAIR HAVEN BORO,1.843,1.8650268265410659
MONMOUTH,1315,FARMINGDALE BORO,2.2689999999999997,2.2622048258094605
MONMOUTH,1316,FREEHOLD BORO,2.662,2.6273440369343675
MONMOUTH,1317,FREEHOLD TWP,2.13,2.1187600665051765
MONMOUTH,1318,HAZLET TWP,2.502,2.5282511156037
MONMOUTH,1319,HIGHLANDS BORO,2.484,2.5611071256560907
MONMOUTH,1320,HOLMDEL TWP,2.0389999999999997,2.0082731918244865
MONMOUTH,1321,HOWELL TWP,2.2399999999999998,2.148643404435036
MONMOUTH,1322,INTERLAKEN BORO,1.208,1.1434385001361438
MONMOUTH,1323,KEANSBURG BORO,4.007000000000001,3.1830150849796026
MONMOUTH,1324,KEYPORT BORO,2.5429999999999997,2.560725896625903
MONMOUTH,1325,LITTLE SILVER BORO,2.0269999999999997,1.9660369743769543
MONMOUTH,1326,LOCH ARBOUR VILLAGE,0.704,0.980993014051456
MONMOUTH,1327,LONG BRANCH CITY,2.09,2.004566003673935
MONMOUTH,1328,MANALAPAN TWP,2.008,1.9240075412590991
MONMOUTH,1329,MANASQUAN BORO,1.5799999999999998,1.3284078465032036
MONMOUTH,1330,MARLBORO TWP,2.263,2.003087558841502
MONMOUTH,1331,MATAWAN BORO,2.7359999999999998,2.6936675885860724
MONMOUTH,1332,MIDDLETOWN TWP,2.138,2.1140671847663004
MONMOUTH,1333,MILLSTONE TWP,2.28,2.1375394989159977
MONMOUTH,1334,MONMOUTH BEACH BORO,1.226,1.1987886582952487
MONMOUTH,1335,NEPTUNE TWP,2.0189999999999997,2.008486103549555
MONMOUTH,1336,NEPTUNE CITY BORO,2.291,2.1905158278801746
MONMOUTH,1337,OCEAN TWP,1.94,1.964996743649966
MONMOUTH,1338,OCEANPORT BORO,1.8279999999999998,1.8386671902885436
MONMOUTH,1339,RED BANK BORO,2.272,2.1557941902371884
MONMOUTH,1340,ROOSEVELT BORO,3.074,2.9193460185385653
MONMOUTH,1341,RUMSON BORO,1.4329999999999998,1.4303321587883617
MONMOUTH,1342,SEA BRIGHT BORO,1.2839999999999998,1.1834890771940885
MONMOUTH,1343,SEA GIRT BORO,0.664,0.6404980752057227
MONMOUTH,1344,SHREWSBURY BORO,2.1229999999999998,2.1062314800463233
MONMOUTH,1345,SHREWSBURY TWP,2.465,2.994315689165957
MONMOUTH,1346,SOUTH BELMAR BORO,1.426,1.4839807326243564
MONMOUTH,1347,SPRING LAKE BORO,0.618,0.6016981479280715
MONMOUTH,1348,SPRING LAKE HEIGHTS BOR,1.3579999999999999,1.3681171586044651
MONMOUTH,1349,TINTON FALLS BORO,1.9369999999999998,1.8878068574669467
MONMOUTH,1350,UNION BEACH BORO,2.516,2.5328340318068943
MONMOUTH,1351,UPPER FREEHOLD TWP,2.4139999999999997,2.3039386518782305
MONMOUTH,1352,WALL TWP,1.92,1.737831469643169
MONMOUTH,1353,WEST LONG BRANCH BORO,2.0549999999999997,1.9473985139186953
MORRIS,1401,BOONTON TOWN,2.9899999999999998,2.7224242293378516
MORRIS,1402,BOONTON TWP,2.347,2.105080702433958
MORRIS,1403,BUTLER BORO,3.7359999999999998,2.7832739188412177
MORRIS,1404,CHATHAM BORO,2.1189999999999998,1.6991734727257928
MORRIS,1405,CHATHAM TWP,1.8929999999999998,1.6743757505967922
MORRIS,1406,CHESTER BORO,2.703,2.768567716687901
MORRIS,1407,CHESTER TWP,2.3729999999999998,2.3023564405720403
MORRIS,1408,DENVILLE TWP,2.512,2.3274492005971963
MORRIS,1409,DOVER TOWN,2.8449999999999998,2.5615672654310577
